full_jibun_addr,station,distance_km
부산광역시 서대신동3가 288-4,동대신,0.46304887788328747
부산광역시 서대신동3가 288-4,서대신,0.4509456668312737
부산광역시 서대신동3가 387-18,동대신,0.3681552441754525
부산광역시 서대신동3가 387-18,서대신,0.42221037925431837
부산광역시 서대신동3가 294-10,동대신,0.432930232851041
부산광역시 서대신동3가 294-10,서대신,0.3517028463287347
부산광역시 토성동3가 4-3,토성,0.11016519514048638
부산광역시 서대신동2가 278-2,동대신,0.48536755455241093
부산광역시 서대신동2가 278-2,서대신,0.06266478445484162
부산광역시 토성동5가 45-6,자갈치,0.4685757991704348
부산광역시 토성동5가 45-6,토성,0.45675384694536214
부산광역시 부민동1가 36-13,토성,0.17892377197500056
부산광역시 서대신동1가 156,동대신,0.28444628547320067
부산광역시 서대신동1가 156,서대신,0.33911615949746077
부산광역시 서대신동3가 449-2,동대신,0.40519899852152585
부산광역시 서대신동3가 449-2,서대신,0.16190935620434363
부산광역시 서대신동1가 137,동대신,0.28513504777350546
부산광역시 서대신동1가 137,서대신,0.3691029170952728
부산광역시 서대신동2가 36-6,동대신,0.17402838467963125
부산광역시 서대신동2가 36-6,서대신,0.4050370867394346
부산광역시 서대신동1가 53-11,동대신,0.1552326317178787
부산광역시 서대신동2가 35-12,동대신,0.19459217885385025
부산광역시 서대신동2가 35-12,서대신,0.4039582452244565
부산광역시 토성동5가 48-3,토성,0.42485704133437996
부산광역시 서대신동1가 54-11,동대신,0.14018840043036068
부산광역시 서대신동1가 54-11,서대신,0.4838522677349422
부산광역시 서대신동2가 18-1,동대신,0.27280577001838235
부산광역시 서대신동2가 18-1,서대신,0.3122446368912203
부산광역시 토성동1가 23-4,자갈치,0.3912335812072868
부산광역시 토성동1가 23-4,토성,0.3268353432652142
부산광역시 서대신동2가 35-9,동대신,0.1909282394789907
부산광역시 서대신동2가 35-9,서대신,0.42024411223729846
부산광역시 토성동2가 6-4,토성,0.1933108738543299
부산광역시 토성동5가 21-1,자갈치,0.4719912310748408
부산광역시 토성동5가 21-1,토성,0.3551727463327364
부산광역시 서대신동1가 156-1,동대신,0.2758082242496321
부산광역시 서대신동1가 156-1,서대신,0.33566959670814656
부산광역시 토성동1가 3-2,토성,0.23657269812515666
부산광역시 토성동2가 1-2,토성,0.166278737276189
부산광역시 충무동2가 1-5,자갈치,0.37132319324550295
부산광역시 부민동1가 12-2,토성,0.392458834540115
부산광역시 토성동2가 8-7,토성,0.18384616703715775
부산광역시 부민동1가 7-1,토성,0.4242625693868239
부산광역시 토성동2가 20,자갈치,0.4937740180639925
부산광역시 토성동2가 20,토성,0.22650022417475593
부산광역시 서대신동2가 202,동대신,0.3283400913508563
부산광역시 서대신동2가 202,서대신,0.21041444500453046
부산광역시 아미동2가 123-1,토성,0.2820712676281278
부산광역시 서대신동2가 14,동대신,0.2760041421525655
부산광역시 서대신동2가 14,서대신,0.3276022425087987
부산광역시 초량동 1056-56,부산역,0.2811707944652973
부산광역시 초량동 1161-8,초량,0.2065389084139205
부산광역시 초량동 1057-1,부산역,0.2672419248538847
부산광역시 초량동 1064-1,부산역,0.4922647075139675
부산광역시 초량동 1155,부산진,0.4415469293238487
부산광역시 초량동 1155,초량,0.4321497409878145
부산광역시 수정동 1011-51,초량,0.48918111202458864
부산광역시 수정동 355-1,초량,0.3887620225874745
부산광역시 좌천동 831-31,부산진,0.4783867318034932
